,title,price,link
0,1,3,1
1,2,4,2
2,"HP Chromebook 14 Laptop, Intel Celeron N4000 Processor, 4 GB RAM, 32 GB eMMC, 14” HD Display, Chrome, Lightweight Computer with Webcam and Dual Mics, Home, School, Music, Movies (14a-na0021nr, 2021)  ",190.,https://www.amazon.com/HP-Chromebook-Processor-Lightweight-14a-na0021nr/dp/B08YKGZF7P/ref=sr_1_9?crid=374UTLWJJWSI9&dib=eyJ2IjoiMSJ9.rhudga1jPvXMdfX7XGnwsoXa0fMm-YRkv-IOHgdeSsOXiI2KiLoWxmCwv7CecNMnJZ6HnJ_ktx2fZZcSTlUuQiv0E664UA1lSrCku-_GDA3jyHIWKX1RdjRczlDQQLG-_yJatwNt74GVFv4eUGKxVR5eEiivGspw6MZvWmCnGkXvvu9mRV6YucDzSveOf-3shrNPUIn-wwigXvPf-X5m4NYM7__RGevPqJ6YYKd3aXg.hunlNj-a2p9RUpggsObpnoG5dLFCbiyRB2r38RwLn4Q&dib_tag=se&keywords=laptop&qid=1720786480&sprefix=%2Caps%2C462&sr=8-9
3,"HP 15.6"" Diagonal Full HD (1920 x 1080) Laptop, 11th Gen Intel Core i5-1135G7 Processor, 8GB DDR4 RAM, 256GB SSD, 802.11ac, Bluetooth, HDMI, Windows 11  ",393.,https://www.amazon.com/HP-Diagonal-i5-1135G7-Processor-Bluetooth/dp/B09LM6SZKG/ref=sr_1_10?crid=374UTLWJJWSI9&dib=eyJ2IjoiMSJ9.rhudga1jPvXMdfX7XGnwsoXa0fMm-YRkv-IOHgdeSsOXiI2KiLoWxmCwv7CecNMnJZ6HnJ_ktx2fZZcSTlUuQiv0E664UA1lSrCku-_GDA3jyHIWKX1RdjRczlDQQLG-_yJatwNt74GVFv4eUGKxVR5eEiivGspw6MZvWmCnGkXvvu9mRV6YucDzSveOf-3shrNPUIn-wwigXvPf-X5m4NYM7__RGevPqJ6YYKd3aXg.hunlNj-a2p9RUpggsObpnoG5dLFCbiyRB2r38RwLn4Q&dib_tag=se&keywords=laptop&qid=1720786480&sprefix=%2Caps%2C462&sr=8-10
4,"HP Newest Pavilion 15.6"" HD Touchscreen Anti-Glare Laptop, 16GB RAM, 1TB SSD Storage, Intel Core Processor up to 4.1GHz, Up to 11 Hours Long Battery Life, Type-C, HDMI, Windows 11 Home, Silver  ",439.,https://www.amazon.com/HP-Pavilion-Touchscreen-Anti-Glare-Processor/dp/B0C4G4L53W/ref=sr_1_11?crid=374UTLWJJWSI9&dib=eyJ2IjoiMSJ9.rhudga1jPvXMdfX7XGnwsoXa0fMm-YRkv-IOHgdeSsOXiI2KiLoWxmCwv7CecNMnJZ6HnJ_ktx2fZZcSTlUuQiv0E664UA1lSrCku-_GDA3jyHIWKX1RdjRczlDQQLG-_yJatwNt74GVFv4eUGKxVR5eEiivGspw6MZvWmCnGkXvvu9mRV6YucDzSveOf-3shrNPUIn-wwigXvPf-X5m4NYM7__RGevPqJ6YYKd3aXg.hunlNj-a2p9RUpggsObpnoG5dLFCbiyRB2r38RwLn4Q&dib_tag=se&keywords=laptop&qid=1720786480&sprefix=%2Caps%2C462&sr=8-11
5,"ZAGG Pro Keys Detachable Case and Wireless Keyboard for Apple iPad Pro 10.2"", Multi-Device Bluetooth Pairing, Backlit Laptop-Style Keys, Apple Pencil Holder, 6.6ft Drop Protection, Lightweight, Black  ",69.,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTozMjU0NDE0MTczMzU3NTkxOjE3MjA3ODY0ODA6c3BfbXRmOjIwMDA3NTYwMjkwNzQ0MTo6MDo6&url=%2FZAGG-Detachable-Laptop-Style-Multi-Device-Compatible%2Fdp%2FB08M6DR6TB%2Fref%3Dsr_1_12_sspa%3Fcrid%3D374UTLWJJWSI9%26dib%3DeyJ2IjoiMSJ9.rhudga1jPvXMdfX7XGnwsoXa0fMm-YRkv-IOHgdeSsOXiI2KiLoWxmCwv7CecNMnJZ6HnJ_ktx2fZZcSTlUuQiv0E664UA1lSrCku-_GDA3jyHIWKX1RdjRczlDQQLG-_yJatwNt74GVFv4eUGKxVR5eEiivGspw6MZvWmCnGkXvvu9mRV6YucDzSveOf-3shrNPUIn-wwigXvPf-X5m4NYM7__RGevPqJ6YYKd3aXg.hunlNj-a2p9RUpggsObpnoG5dLFCbiyRB2r38RwLn4Q%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1720786480%26sprefix%3D%252Caps%252C462%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
6,"Lenovo IdeaPad 1 14 Laptop, 14.0"" HD Display, Intel Celeron N4020, 4GB RAM, 64GB Storage, Intel UHD Graphics 600, Win 11 in S Mode, Cloud Grey  ",158.,https://www.amazon.com/Lenovo-IdeaPad-Display-Celeron-Graphics/dp/B0BLW25MB7/ref=sr_1_14?crid=374UTLWJJWSI9&dib=eyJ2IjoiMSJ9.rhudga1jPvXMdfX7XGnwsoXa0fMm-YRkv-IOHgdeSsOXiI2KiLoWxmCwv7CecNMnJZ6HnJ_ktx2fZZcSTlUuQiv0E664UA1lSrCku-_GDA3jyHIWKX1RdjRczlDQQLG-_yJatwNt74GVFv4eUGKxVR5eEiivGspw6MZvWmCnGkXvvu9mRV6YucDzSveOf-3shrNPUIn-wwigXvPf-X5m4NYM7__RGevPqJ6YYKd3aXg.hunlNj-a2p9RUpggsObpnoG5dLFCbiyRB2r38RwLn4Q&dib_tag=se&keywords=laptop&qid=1720786480&sprefix=%2Caps%2C462&sr=8-14
7,"STM Dux for Microsoft Surface Laptop Go and Go 2 - Rugged, Protective Case/Cover - Black (stm-222-314L-01)  ",59.,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTozMjU0NDE0MTczMzU3NTkxOjE3MjA3ODY0ODA6c3BfbXRmOjMwMDI2NjExMTA0NTcwMjo6MDo6&url=%2FSTM-Microsoft-Surface-Laptop-stm-222-314L-01%2Fdp%2FB08TVZMLGR%2Fref%3Dsr_1_17_sspa%3Fcrid%3D374UTLWJJWSI9%26dib%3DeyJ2IjoiMSJ9.rhudga1jPvXMdfX7XGnwsoXa0fMm-YRkv-IOHgdeSsOXiI2KiLoWxmCwv7CecNMnJZ6HnJ_ktx2fZZcSTlUuQiv0E664UA1lSrCku-_GDA3jyHIWKX1RdjRczlDQQLG-_yJatwNt74GVFv4eUGKxVR5eEiivGspw6MZvWmCnGkXvvu9mRV6YucDzSveOf-3shrNPUIn-wwigXvPf-X5m4NYM7__RGevPqJ6YYKd3aXg.hunlNj-a2p9RUpggsObpnoG5dLFCbiyRB2r38RwLn4Q%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1720786480%26sprefix%3D%252Caps%252C462%26sr%3D8-17-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
8,"SAMSUNG 14"" Galaxy Book4 Pro Laptop PC Computer, Intel Core 7 Ultra Processor 512GB, 3K AMOLED (2880 x 1800) Touchscreen, Advanced Security, 2024 Model, NP940XGK-KG1US, Moonstone Gray  ","1,413.",https://www.amazon.com/sspa/click?ie=UTF8&spc=MTozMjU0NDE0MTczMzU3NTkxOjE3MjA3ODY0ODA6c3BfYXRmOjMwMDE0MjA0MjcxNjUwMjo6MDo6&url=%2FSAMSUNG-Processor-Touchscreen-NP940XGK-KG1US-Moonstone%2Fdp%2FB0CQ3RRS23%2Fref%3Dsr_1_1_sspa%3Fcrid%3D374UTLWJJWSI9%26dib%3DeyJ2IjoiMSJ9.rhudga1jPvXMdfX7XGnwsoXa0fMm-YRkv-IOHgdeSsOXiI2KiLoWxmCwv7CecNMnJZ6HnJ_ktx2fZZcSTlUuQiv0E664UA1lSrCku-_GDA3jyHIWKX1RdjRczlDQQLG-_yJatwNt74GVFv4eUGKxVR5eEiivGspw6MZvWmCnGkXvvu9mRV6YucDzSveOf-3shrNPUIn-wwigXvPf-X5m4NYM7__RGevPqJ6YYKd3aXg.hunlNj-a2p9RUpggsObpnoG5dLFCbiyRB2r38RwLn4Q%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1720786480%26sprefix%3D%252Caps%252C462%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
9,"HP 2023 Newest Chromebook Laptop, 14 Inch Display, Intel Celeron N4120 Processor, 4GB RAM, 64GB eMMC, Intel UHD Graphics 600, WiFi, Bluetooth, Chrome OS, Modern Gray  ",178.,https://www.amazon.com/HP-Chromebook-Processor-Graphics-Bluetooth/dp/B0C7MR5RDH/ref=sr_1_20?crid=374UTLWJJWSI9&dib=eyJ2IjoiMSJ9.rhudga1jPvXMdfX7XGnwsoXa0fMm-YRkv-IOHgdeSsOXiI2KiLoWxmCwv7CecNMnJZ6HnJ_ktx2fZZcSTlUuQiv0E664UA1lSrCku-_GDA3jyHIWKX1RdjRczlDQQLG-_yJatwNt74GVFv4eUGKxVR5eEiivGspw6MZvWmCnGkXvvu9mRV6YucDzSveOf-3shrNPUIn-wwigXvPf-X5m4NYM7__RGevPqJ6YYKd3aXg.hunlNj-a2p9RUpggsObpnoG5dLFCbiyRB2r38RwLn4Q&dib_tag=se&keywords=laptop&qid=1720786480&sprefix=%2Caps%2C462&sr=8-20
